2021-09-28 17:31:04,109 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11scheduler:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11Scheduler\pom.xml.
2021-09-28 17:31:04,755 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:04,758 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:04,767 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:04,770 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:05,255 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11security:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11Security\pom.xml.
2021-09-28 17:31:05,463 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.3 is missing, no dependency information available
2021-09-28 17:31:06,354 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.3 is missing, no dependency information available
2021-09-28 17:31:07,544 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:07,548 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:07,573 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
